@relation x_features.txt-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Standardize_yval_time.txt

@attribute triple numeric
@attribute bgp numeric
@attribute join numeric
@attribute leftjoin numeric
@attribute union numeric
@attribute filter numeric
@attribute project numeric
@attribute distinct numeric
@attribute treesize numeric
@attribute ex_time numeric

@data
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,1
