0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.222,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.500,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.500,0.667,0.400,0.222,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.222,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.222,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.222,0.133
0.286,0.286,0.286,0.286,0.286,0.400,0.286,0.333,0.286,0.154
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.222,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.222,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.182,0.182,0.182,0.182,0.182,0.200,0.182,0.250,0.182,0.167
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.286,0.286,0.286,0.286,0.286,0.333,0.286,0.500,0.286,0.143
1.000,1.000,1.000,0.667,1.000,0.500,1.000,0.400,0.286,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,1.000,0.667,0.400,0.667,0.400,0.250,0.133
0.667,0.667,0.667,0.667,0.667,0.400,0.667,0.500,0.222,0.133
