@relation x_features.txt_x_features_simvec.txt-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Standardize_ytest_time.txt

@attribute triple numeric
@attribute bgp numeric
@attribute join numeric
@attribute leftjoin numeric
@attribute union numeric
@attribute filter numeric
@attribute project numeric
@attribute distinct numeric
@attribute treesize numeric
@attribute pcs0 numeric
@attribute pcs1 numeric
@attribute pcs2 numeric
@attribute pcs3 numeric
@attribute pcs4 numeric
@attribute pcs5 numeric
@attribute pcs6 numeric
@attribute pcs7 numeric
@attribute pcs8 numeric
@attribute pcs9 numeric
@attribute pcs10 numeric
@attribute pcs11 numeric
@attribute pcs12 numeric
@attribute pcs13 numeric
@attribute pcs14 numeric
@attribute pcs15 numeric
@attribute pcs16 numeric
@attribute pcs17 numeric
@attribute pcs18 numeric
@attribute pcs19 numeric
@attribute ex_time numeric

@data
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,-0.245578,-0.248398,0.029433,1.772648,0.805475,0.03794,0.744874,3.176867,-0.216978,-0.254835,-0.227203,1.772648,0.116081,-0.315421,0.03794,-0.248398,-0.288067,0.726461,-0.292088,-0.285743,1
