@relation x_features.txt_x_features_simvec.txt-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Standardize_y_time.txt

@attribute triple numeric
@attribute bgp numeric
@attribute join numeric
@attribute leftjoin numeric
@attribute union numeric
@attribute filter numeric
@attribute project numeric
@attribute distinct numeric
@attribute treesize numeric
@attribute pcs0 numeric
@attribute pcs1 numeric
@attribute pcs2 numeric
@attribute pcs3 numeric
@attribute pcs4 numeric
@attribute pcs5 numeric
@attribute pcs6 numeric
@attribute pcs7 numeric
@attribute pcs8 numeric
@attribute pcs9 numeric
@attribute pcs10 numeric
@attribute pcs11 numeric
@attribute pcs12 numeric
@attribute pcs13 numeric
@attribute pcs14 numeric
@attribute pcs15 numeric
@attribute pcs16 numeric
@attribute pcs17 numeric
@attribute pcs18 numeric
@attribute pcs19 numeric
@attribute ex_time numeric

@data
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
-1.288789,-0.698785,-0.306065,-0.457447,-0.787928,-0.789441,0.408086,1.154242,-0.558795,3.176867,-0.265499,1.772648,-0.283184,0.116081,-0.216978,-0.229736,0.744874,0.726461,-0.315421,0.805475,-0.288067,0.106046,3.176867,0.805475,3.176867,-0.254835,0.029433,-0.248223,-0.216978,1
